# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr	ANs_study	ANs_pop
GO:0000386	e	second spliceosomal transesterification activity	5/1159	1/1159	0.218	562	543	548	n.a.	P24384,P28004,P33411,Q02775,Q12309	P15938,P21374,P24384,P28004,P33334,P33411,P40968,P53277,Q02775,Q03654,Q04048,Q12046,Q12309
GO:0000388	e	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P32639	
GO:0000390	e	spliceosomal complex disassembly	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P06634,P24384,Q06411	P06634,P24384,P52868,P53131,Q06411
GO:0000398	e	mRNA splicing, via spliceosome	17/1159	15/1159	0.859	2.21e+03	1.75e+03	2.16e+03	n.a.	P20053,P27692,P33203,P33411,P38282,P40018,P46947,P53854,P53905,Q00916,Q01560,Q03338,Q04693,Q06406,Q07478,Q08925,Q12186	P0C074,P19735,P20053,P24309,P25337,P27692,P32524,P32605,P32914,P33203,P33411,P34160,P36048,P38203,P38241,P39990,P40018,P40070,P40089,P40204,P40567,P43321,P43589,P46947,P47093,P47130,P49704,P49955,P53207,P53255,P53277,P53333,P53830,P53854,P53866,P53905,P54999,P57743,Q00539,Q00916,Q01560,Q02260,Q02554,Q03338,Q03375,Q03654,Q03714,Q03772,Q03776,Q04693,Q05900,Q06091,Q06217,Q06406,Q06819,Q06835,Q07478,Q08920,Q08925,Q08963,Q12046,Q12049,Q12186,Q12368,Q12417,Q12420,Q6Q546,Q99181
GO:0000400	e	four-way junction DNA binding	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P20050,Q03973	P25847,P32849,Q02685,Q03834,Q03973
GO:0000404	p	heteroduplex DNA loop binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38920	P14242,P25336,P25847,P38920,Q03435
GO:0000407	p	pre-autophagosomal structure	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P01123,P36149,Q06671	P01123,P22543,P35193,P36115,P36149,P38182,P38334,P38862,P43601,P46944,P46989,P47057,P53104,P53855,Q02948,Q03337,Q03784,Q03818,Q06410,Q06671,Q07528,Q12092,Q12142,Q12527,Q99394
GO:0000411	e	positive regulation of transcription by galactose	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P01120	
GO:0000412	e	histone peptidyl-prolyl isomerization	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38911,Q06205	P38911,Q06205
GO:0000413	p	protein peptidyl-prolyl isomerization	3/1159	6/1159	0.507	1.31e+03	1.16e+03	1.27e+03	n.a.	P14832,P25719,P53691	P14832,P20081,P22696,P23285,P25334,P25719,P32472,P35176,P40454,P47103,P53691,P53728,Q02770,Q12461
GO:0000414	e	regulation of histone H3-K36 methylation	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P23615	
GO:0000415	p	negative regulation of histone H3-K36 methylation	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q06205	Q06205
GO:0000417	p	HIR complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q01448	P32479,P32480,P47171,Q01448
GO:0000433	e	negative regulation of transcription from RNA polymerase II promoter by glucose	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P07261,P16649,P23615	P16649,P23615,P27705,P47142,Q03125,Q06696,Q12483
GO:0000435	e	positive regulation of transcription from RNA polymerase II promoter by galactose	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P38931,P39073	
GO:0000436	e	carbon catabolite activation of transcription from RNA polymerase II promoter	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P18480,P32591	P09547,P13434,P14064,P18480,P32591,Q02516,Q12132
GO:0000439	e	core TFIIH complex	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32776,Q04673	P06839,P32776,Q00578,Q02939,Q04673,Q12004,Q3E7C1
GO:0000445	e	THO complex part of transcription export complex	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P17629,P53552	O13539,P17629,P33441,P53552
GO:0000446	e	nucleoplasmic THO complex	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P17629,P53552	O13539,P17629,P33441,P53552
GO:0000447	e	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	23/1159	12/1159	0.0871	224	220	219	n.a.	P0CX55,P25627,P34247,P35194,P38333,P40055,P42846,P43586,P47077,P47083,P53743,Q03280,Q04500,Q05022,Q06106,Q06287,Q08746,Q12136,Q12220,Q12499,Q3E754,Q99207,Q99216	P0C0V8,P0CX55,P25586,P25627,P25635,P32905,P34247,P35194,P38333,P38719,P40055,P40079,P40362,P42846,P42945,P43586,P45818,P46654,P47077,P47083,P53317,P53743,Q02354,Q03280,Q04500,Q05022,Q05946,Q06106,Q06287,Q06512,Q08096,Q08492,Q08746,Q12035,Q12136,Q12220,Q12339,Q12499,Q3E754,Q99207,Q99216
GO:0000448	e	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q03280	
GO:0000453	e	enzyme-directed rRNA 2'-O-methylation	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P25582	
GO:0000455	e	enzyme-directed rRNA pseudouridine synthesis	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q08647	
GO:0000461	p	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q3E754	P0C0V8,P32905,P46654,Q07381,Q3E754
GO:0000462	e	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	32/1159	22/1159	0.215	553	535	539	n.a.	P05755,P05756,P0CX29,P0CX31,P0CX37,P0CX39,P0CX47,P23248,P33442,P33750,P35997,P36009,P38701,P38882,P39730,P40055,P40160,P48234,P53254,P53261,P53276,Q03532,Q04217,Q05775,Q06631,Q06679,Q12136,Q12220,Q12247,Q12754,Q3E705,Q99207	O13516,P05755,P05756,P06367,P0CX29,P0CX31,P0CX37,P0CX39,P0CX47,P0CX51,P23248,P25635,P33442,P33750,P35997,P36009,P38701,P38712,P38882,P39516,P39730,P39990,P40055,P40160,P40498,P41819,P42945,P48234,P53131,P53251,P53254,P53261,P53276,P53317,Q02354,Q02931,Q03532,Q04177,Q04217,Q04305,Q05775,Q05946,Q06631,Q06672,Q06679,Q07381,Q08444,Q08492,Q12055,Q12099,Q12136,Q12196,Q12220,Q12339,Q12481,Q12754,Q3E705,Q99207
GO:0000463	e	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	22/1159	11/1159	0.078	201	197	196	n.a.	P0CX84,P10962,P25582,P36160,P37838,P38112,P38779,P38803,P38805,P40010,P40078,P40693,P53063,P53261,P53927,Q03532,Q04660,Q06218,Q06511,Q08208,Q12080,Q12389	P0CX84,P10962,P20484,P25582,P34241,P36120,P36160,P37838,P38112,P38779,P38789,P38803,P38805,P40010,P40078,P40693,P40991,P46973,P53063,P53131,P53261,P53734,P53927,Q03532,Q04660,Q06218,Q06511,Q08208,Q08287,Q08962,Q12024,Q12080,Q12389,Q12522
GO:0000464	e	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P20447,Q05022	P20447,Q05022
GO:0000465	e	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P40693	
GO:0000466	e	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	12/1159	6/1159	0.236	608	582	592	n.a.	P10962,P25582,P36160,P38112,P38779,P38805,P40078,P53063,P53261,Q04660,Q06511,Q12389	P10962,P20484,P25582,P34241,P36160,P38112,P38779,P38805,P40078,P53063,P53131,P53261,P53734,Q04660,Q06511,Q12024,Q12389,Q12522,Q12530
GO:0000467	e	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6/1159	4/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P38801,P47047,P48240,P53725,Q08162,Q12149	P25359,P32835,P38792,P38801,P46948,P47047,P48240,P53256,P53331,P53725,P53859,P54964,Q05636,Q08162,Q08285,Q12090,Q12149,Q12277
GO:0000469	p	cleavage involved in rRNA processing	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P32495,Q6Q547	P32495,Q08444,Q12481,Q6Q547
GO:0000470	p	maturation of LSU-rRNA	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P05737,P17076,P29453	P05737,P17076,P25808,P29453,P36146,P53738,Q12213
GO:0000472	e	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	18/1159	7/1159	0.0422	109	107	106	n.a.	P34247,P35194,P40055,P43586,P47077,P47083,P53743,Q03280,Q04500,Q05022,Q06106,Q06287,Q08965,Q12136,Q12220,Q12499,Q99207,Q99216	P25635,P34247,P35194,P38719,P40055,P40362,P42945,P43586,P45818,P47077,P47083,P53317,P53743,Q02354,Q03280,Q04500,Q05022,Q05946,Q06106,Q06287,Q06512,Q08096,Q08492,Q08965,Q12035,Q12136,Q12220,Q12339,Q12499,Q99207,Q99216
GO:0000480	e	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	17/1159	7/1159	0.0626	161	159	157	n.a.	P34247,P35194,P40055,P43586,P47077,P47083,P53743,Q03280,Q04500,Q05022,Q06106,Q06287,Q08965,Q12136,Q12220,Q12499,Q99207	P25635,P34247,P35194,P38719,P40055,P40079,P40362,P42945,P43586,P45818,P47077,P47083,P53317,P53743,Q02354,Q03280,Q04500,Q05022,Q05946,Q06106,Q06287,Q06512,Q08096,Q08965,Q12035,Q12136,Q12220,Q12339,Q12499,Q99207
GO:0000492	e	box C/D snoRNP assembly	4/1159	3/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P02829,P15108,P38768,Q03940	P02829,P15108,P25638,P38768,P46973,Q03940,Q08932,Q12464
GO:0000494	p	box C/D snoRNA 3'-end processing	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15646	P15646,P53335
GO:0000495	p	box H/ACA snoRNA 3'-end processing	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P33322	P33322
GO:0000500	e	RNA polymerase I upstream activating factor complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P13393	
GO:0000502	p	proteasome complex	5/1159	5/1159	1	2.57e+03	1.88e+03	2.51e+03	n.a.	P15731,P32571,P38779,P43583,Q12250	P06104,P15731,P15732,P21734,P32571,P32628,P38737,P38779,P38886,P43583,P43593,P53119,P53196,Q12250
GO:0000703	e	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P31378	
GO:0000706	e	meiotic DNA double-strand break processing	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P35187,P38859	P00546,P12753,P32829,P35187,P38859
GO:0000709	e	meiotic joint molecule formation	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P06778	
GO:0000710	e	meiotic mismatch repair	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15873,P38920	P06777,P06838,P14242,P15873,P25336,P25847,P38920,Q03834
GO:0000713	e	meiotic heteroduplex formation	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P38920	
GO:0000721	p	(R,R)-butanediol dehydrogenase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P39714	P39714
GO:0000722	p	telomere maintenance via recombination	4/1159	4/1159	1	2.57e+03	1.87e+03	2.51e+03	n.a.	P06778,P35187,Q07457,Q12345	P06104,P06778,P07271,P0CX14,P12753,P22336,P25454,P26754,P26755,P35187,P36132,P38111,P46984,P53115,P53323,Q02574,Q03435,Q03705,Q07457,Q08561,Q12345,Q3E833
GO:0000723	e	telomere maintenance	10/1159	7/1159	0.628	1.62e+03	1.36e+03	1.58e+03	n.a.	P15108,P25555,P25588,P29539,P35187,P38199,P38827,P38859,P39015,Q12345	O13539,P07271,P11938,P12753,P15108,P25555,P25588,P29539,P32579,P32797,P32807,P33301,P35187,P35732,P36104,P36132,P38111,P38151,P38199,P38766,P38827,P38859,P39015,P39706,P43132,P46984,P53038,P53323,Q03705,Q04437,Q12050,Q12345
GO:0000724	e	double-strand break repair via homologous recombination	4/1159	3/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06778,P18480,P35187,Q07457	P06104,P06778,P18480,P22336,P25454,P26754,P26755,P32345,P32807,P35187,P49956,Q04437,Q06340,Q06488,Q07457,Q08204,Q12050,Q12749
GO:0000725	e	recombinational repair	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P32787,P40316,P40562	P32787,P40562,P47027,Q04089,Q06211,Q08204
GO:0000727	e	double-strand break repair via break-induced replication	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P06778,P47110,Q01454	P06243,P06778,P07271,P12753,P24279,P29469,P29496,P30665,P32354,P32807,P32829,P38132,P40359,P47027,P47110,P47112,P53091,P53135,Q01454,Q12098,Q12146
GO:0000729	e	DNA double-strand break processing	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P29539,P35187,P38859	P29539,P31380,P35187,P38859
GO:0000730	e	DNA recombinase assembly	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P06778	
GO:0000731	e	DNA synthesis involved in DNA repair	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P13382	
GO:0000733	e	DNA strand renaturation	4/1159	1/1159	0.374	964	900	940	n.a.	P06778,P32787,P38859,P40151	P06778,P06838,P07271,P32787,P38859,P40151,Q05549
GO:0000734	e	gene conversion at mating-type locus, DNA repair synthesis	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P26793	
GO:0000741	p	karyogamy	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P22147	P22147,P32526,P36022,P39723,P47069,P53159
GO:0000742	p	karyogamy involved in conjugation with cellular fusion	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P06787,P16474,P32380	P06787,P08539,P11709,P16474,P17119,P32380,P38713,P40358
GO:0000747	e	conjugation with cellular fusion	5/1159	3/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P13574,P25343,P35177,P38255,Q12114	P13574,P19073,P23900,P25343,P35177,P38255,P38789,P50090,P53145,P53334,Q04951,Q12114,Q12127,Q12153
GO:0000750	p	pheromone-dependent signal transduction involved in conjugation with cellular fusion	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06105,Q12154,Q2V2Q1	P01149,P06105,P08539,P14681,P16892,P18851,P18852,P19073,P23561,P25344,P32917,P35182,P39083,P53885,Q03497,Q12154
GO:0000754	p	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12348	P08539,P11972,P14747,P23287,P25296,P47130,Q02805,Q03981,Q12468
GO:0000774	p	adenyl-nucleotide exchange factor activity	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P32589,P32590,P38523	P32589,P32590,P36016,P38260,P38523,P40477,Q08199
GO:0000775	e	chromosome, centromeric region	6/1159	3/1159	0.507	1.31e+03	1.16e+03	1.27e+03	n.a.	P17106,P29295,P32597,P33322,Q03330,Q12495	P06243,P17106,P29295,P31380,P32325,P32479,P32597,P33322,P38903,P40484,P40541,P53135,Q03330,Q04431,Q12158,Q12495
GO:0000776	p	kinetochore	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P17106,P30822	P11709,P17106,P25644,P30822,P32914,P38313,P38903,P40568,P40957,P46675,P47149,P52286,Q08581,Q12143,Q12493
GO:0000777	p	condensed chromosome kinetochore	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38198	P38198,P52286,Q12493
GO:0000778	p	condensed nuclear chromosome kinetochore	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P32504,P53148	P11709,P22149,P26449,P27895,P32504,P32598,P33895,P40014,P40460,P40958,P46675,P47167,P53148,P53169,P53298,Q02732,Q04431,Q04477,Q06675,Q08581,Q12262
GO:0000780	p	condensed nuclear chromosome, centromeric region	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32504	P23595,P32504,P33895,P38903,P40014,P40460,Q04477
GO:0000781	e	chromosome, telomeric region	7/1159	6/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P17629,P25555,P38961,P40553,P53552,Q03707,Q07478	P06701,P17629,P22336,P25555,P26754,P26755,P32579,P32849,P33441,P35732,P36104,P36132,P38961,P39706,P40553,P43132,P46984,P53323,P53552,P53874,Q03466,Q03705,Q03707,Q07478,Q12050,Q3E833
GO:0000784	e	nuclear chromosome, telomeric region	6/1159	2/1159	0.288	742	703	723	n.a.	P29539,P38199,P38859,P40963,Q04003,Q99314	P06700,P06701,P11938,P11978,P29496,P29539,P32797,P38199,P38859,P47069,P53038,Q02457,Q04003,Q99314
GO:0000785	e	chromatin	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q06205,Q12309	P11792,P38697,P38852,P53853,Q06205,Q12309
GO:0000786	p	nucleosome	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12692	Q12692
GO:0000788	e	nuclear nucleosome	6/1159	4/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P02293,P02294,P02309,P04911,P53551,P61830	P02293,P02309,P04911,P53551,P61830
GO:0000790	e	nuclear chromatin	21/1159	8/1159	0.0233	59.9	59.4	58.4	n.a.	P25302,P32558,P32657,P33417,P34161,P35817,P39520,P39521,P40963,P53551,P80428,Q03973,Q04002,Q04003,Q04116,Q04383,Q05543,Q07457,Q08649,Q12692,Q99314	P06104,P10862,P21827,P25042,P25302,P25364,P32558,P32657,P32807,P32849,P33417,P34161,P35817,P36132,P38890,P38927,P39520,P39521,P40090,P40454,P40473,P46984,P53135,P53290,P53551,P80428,Q03973,Q04002,Q04003,Q04116,Q04195,Q04437,Q04636,Q05543,Q07457,Q08649,Q12510,Q12692,Q3E833,Q99314
GO:0000794	p	condensed nuclear chromosome	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P20050,Q12306	P22336,P25454,P26754,P26755,P32345,P40164,P50623,Q04264,Q12158,Q12306
GO:0000795	e	synaptonemal complex	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P06786,P31111	
GO:0000800	e	lateral element	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P20050	
GO:0000802	e	transverse filament	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P31111	
GO:0000812	e	Swr1 complex	6/1159	3/1159	0.507	1.31e+03	1.16e+03	1.27e+03	n.a.	P35817,P60010,P80428,Q03388,Q03940,Q05471	P35817,P38326,P53201,P53930,P60010,P80428,Q03388,Q03940,Q12464,Q12509
GO:0000822	p	inositol hexakisphosphate binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P20449	P20449,Q12315
GO:0000829	e	inositol heptakisphosphate kinase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q06685	
GO:0000830	e	inositol hexakisphosphate 4-kinase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q06685	
GO:0000831	e	inositol hexakisphosphate 6-kinase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q06685	
GO:0000832	e	inositol hexakisphosphate 5-kinase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q06685	
GO:0000837	e	Doa10p ubiquitin ligase complex	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P25694,P53044,Q02159	P25694,P33755,P38428,P40318,P53044,Q02159,Q04228,Q12743
GO:0000839	p	Hrd1p ubiquitin ligase ERAD-L complex	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P25694,P53044,Q02159	P25694,P33755,P38428,P53044,Q02159,Q03714,Q04228,Q05787,Q08109,Q12743,Q99220
GO:0000902	p	cell morphogenesis	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P23292	P17555,P23291,P23292,P32801,P38274,P38692,P40468,Q02933,Q03921
GO:0000906	p	6,7-dimethyl-8-ribityllumazine synthase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P50861	P50861
GO:0000915	e	actomyosin contractile ring assembly	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53141,P53927	P08964,P53141,P53927,Q07657
GO:0000916	p	actomyosin contractile ring contraction	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P60010	P08964,P14180,P60010,Q06580
GO:0000921	p	septin ring assembly	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P32457,P32468,P32504	P25342,P25389,P32457,P32468,P32504,P32801,P40499,P52286,P53890,P53924,Q07657,Q12263
GO:0000932	p	cytoplasmic mRNA processing body	9/1159	13/1159	0.521	1.34e+03	1.18e+03	1.31e+03	n.a.	P10080,P22147,P38199,P39517,P39935,P45978,P53741,Q06406,Q08925	P10080,P20433,P22147,P24276,P25644,P31384,P32588,P32831,P32909,P34087,P34761,P38199,P38203,P38254,P38330,P39008,P39517,P39935,P39936,P39998,P40070,P40850,P45978,P47017,P50109,P50896,P53550,P53741,P53849,P53897,Q02773,Q02875,Q03466,Q04432,Q06151,Q06406,Q08831,Q08925,Q12123,Q12517,Q6WNK7
GO:0000943	p	retrotransposon nucleocapsid	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P0C2I9,Q03434,Q12472	O13535,P0C2I6,P0C2I9,P0C2J0,P0C2J1,P0CX63,P0CX74,P47024,P47098,P47099,P47100,Q03434,Q04214,Q04215,Q04670,Q12112,Q12273,Q12414,Q12490,Q12491,Q99337
GO:0000947	e	amino acid catabolic process to alcohol via Ehrlich pathway	4/1159	3/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P00330,P00331,P07246,P32771	P00330,P00331,P07246,P10127,P32771,P38113
GO:0000949	p	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06169	P06169,P16467,P26263,Q06408
GO:0000956	p	nuclear-transcribed mRNA catabolic process	4/1159	4/1159	1	2.57e+03	1.87e+03	2.51e+03	n.a.	P22147,P33201,P53063,P53905	P22147,P30771,P33201,P38254,P40070,P40089,P53063,P53905,P57743,Q07807,Q08831
GO:0000972	e	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	6/1159	2/1159	0.288	742	703	723	n.a.	P20676,P25502,P32499,P39705,P40457,Q04002	P20676,P25502,P32499,P39705,P40064,P40066,P40457,P49686,Q04002
GO:0000973	e	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	6/1159	3/1159	0.507	1.31e+03	1.16e+03	1.27e+03	n.a.	P32499,P38801,P39705,P40457,P49687,Q12149	P32499,P35729,P36161,P38801,P39705,P40064,P40066,P40457,P46674,P49686,P49687,P52891,Q02629,Q08231,Q12149,Q6WNK7
GO:0000974	p	Prp19 complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12309	P21374,P32523,P53277,Q03654,Q04048,Q06091,Q12046,Q12309,Q12417
GO:0000977	e	RNA polymerase II regulatory region sequence-specific DNA binding	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P34161,Q04116	
GO:0000978	e	RNA polymerase II core promoter proximal region sequence-specific DNA binding	14/1159	4/1159	0.0303	77.9	77.2	75.9	n.a.	P07248,P07261,P14164,P17106,P18412,P20134,P25502,P39001,P40466,P41696,P41813,Q03833,Q05958,Q12692	P07248,P13434,P14164,P15315,P17106,P18494,P20134,P25502,P27705,P32338,P32805,P32896,P38304,P39001,P39113,P39720,P40466,P40971,P41696,P41813,P46676,P48743,P54785,Q01532,Q02100,Q02457,Q02516,Q03125,Q03833,Q05958,Q12151,Q12692
GO:0000979	e	RNA polymerase II core promoter sequence-specific DNA binding	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P13393	
GO:0000981	e	sequence-specific DNA binding RNA polymerase II transcription factor activity	5/1159	2/1159	0.452	1.16e+03	1.07e+03	1.14e+03	n.a.	P22035,P38157,P40489,P50104,Q06639	P21657,P22035,P32338,P32607,P34228,P38165,P38781,P39529,P40467,P40489,P42944,Q03213,Q03631,Q05854,Q06639,Q08904,Q12180,Q12206,Q12244,Q12753
GO:0000982	p	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P07248	P07248,P11938,P21192,P22149,P33748,P33749,Q02457,Q12224
GO:0000983	e	RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P38351	
GO:0000989	e	transcription factor binding transcription factor activity	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P39001,P53718	P39001,P40956,P42845
GO:0000990	e	core RNA polymerase binding transcription factor activity	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32776,Q04673	P06242,P06839,P32776,P37366,Q00578,Q02939,Q03290,Q04673,Q12004,Q3E7C1
GO:0000991	e	core RNA polymerase II binding transcription factor activity	6/1159	3/1159	0.507	1.31e+03	1.16e+03	1.27e+03	n.a.	P23615,P27692,P35189,P41895,P41896,Q06505	P23615,P27692,P32585,P32914,P34162,P35189,P41895,P41896,Q06505
GO:0000993	e	RNA polymerase II core binding	8/1159	4/1159	0.386	995	919	970	n.a.	P27692,P29055,P36053,P38351,P89105,Q01560,Q05543,Q06697	P00546,P07273,P22696,P27692,P29055,P36053,P36100,P36145,P38351,P39081,P89105,Q01560,Q05543,Q06697
GO:0000994	e	RNA polymerase III core binding	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P29056	
